,smiles,reward,rank,spaya_score,spaya_nb_steps,status,objective,SA_score,type,dataset,method,property,tb_synthesizability
0,COc1cc(N2CCN(C)CC2)ccc1NC(=O)Cn1c(=O)n(Cc2nc(C)no2)c(=O)c2ccccc21,0.8852721225591585,0,0.7,3,DONE,0.8852721225591585,2.561241095091951,ws,chembl,smiles_lstm,Osimertinib MPO,1
1,COc1ccc(NC(=O)CN(C)CC(O)Cn2c(=O)c3ccccc3n(CCOc3ccnc(N)n3)c2=O)cc1OC,0.8846299753356046,1,0.7,4,DONE,0.8846299753356046,3.2220728206575897,ws,chembl,smiles_lstm,Osimertinib MPO,1
2,COc1cc(OC)c(N2CCN(C)C2)cc1NC(=O)Cn1c(=O)c2ccccc2n(C)c1=O,0.8827146674694462,2,0.7,3,DONE,0.8827146674694462,2.520473319645612,ws,chembl,smiles_lstm,Osimertinib MPO,1
3,COc1cc(N(C)C)ccc1NC(=O)Cn1c(=O)n(C(=O)NCCN(C)C)c(=O)c2ccccc21,0.8807900507741439,3,0.7,4,DONE,0.8807900507741439,2.5708871397124042,ws,chembl,smiles_lstm,Osimertinib MPO,1
4,COc1ccc(NC(=O)CN(C)CC(=O)Cn2c(=O)n(Cc3nc(C)no3)c(=O)c3ccccc32)c(OC)c1,0.8793373902849523,4,0.7,3,DONE,0.8793373902849523,2.7115852509524334,ws,chembl,smiles_lstm,Osimertinib MPO,1
5,COc1cc(N2CCN(C)CC2)ccc1NC(=O)Cn1c(=O)n(CC(=O)NNC(=O)c2ccco2)c(=O)c2ccccc21,0.8787905144942216,5,0.7,4,DONE,0.8787905144942216,2.6623011103304037,ws,chembl,smiles_lstm,Osimertinib MPO,1
6,COc1cccc(NC(=O)Cn2c(=O)n(CCNC(=O)CN3CCN(c4ncccn4)CC3)c(=O)c3ccccc32)c1OC,0.877514463916013,6,0.7,2,DONE,0.877514463916013,2.676922061847872,ws,chembl,smiles_lstm,Osimertinib MPO,1
7,COc1cc(NC(=O)Cn2c(=O)n(CCNC(=O)CN3CCN(c4ncccn4)CC3)c(=O)c3ccccc32)cc(OC)c1,0.877514463916013,7,0.7,3,DONE,0.877514463916013,2.663689094814906,ws,chembl,smiles_lstm,Osimertinib MPO,1
8,COc1ccccc1NC(=O)Cn1c(=O)n(CCNC(=O)CN2CCN(c3ncccn3)CC2)c(=O)c2ccccc21,0.8757653731721587,8,0.7,4,DONE,0.8757653731721587,2.5320584251614218,ws,chembl,smiles_lstm,Osimertinib MPO,1
9,COc1ccc(NC(=O)CN(C)CC(=O)Nn2c(=O)n(Cc3nccn3C)c(=O)c3ccccc32)c(OC)c1,0.8750094247999712,9,0.7,4,DONE,0.8750094247999712,2.7808147498938602,ws,chembl,smiles_lstm,Osimertinib MPO,1
10,COc1ccc(NC(=O)Cn2c(=O)n(CCNC(=O)CN3CCN(c4ccncc4)CC3)c(=O)c3ccccc32)c(OC)c1,0.8749672062198145,10,0.7,3,DONE,0.8749672062198145,2.5931726112984226,ws,chembl,smiles_lstm,Osimertinib MPO,1
11,COc1ccc(NC(=O)CNC(=O)Cn2c(=O)n(CCN3CCN(c4ccncc4)CC3)c(=O)c3ccccc32)c(OC)c1,0.8749672062198145,11,0.7,3,DONE,0.8749672062198145,2.612775908001719,ws,chembl,smiles_lstm,Osimertinib MPO,1
12,COc1cccc(NC(=O)CN(C)CC(=O)Cn2c(=O)n(Cc3nc(C)no3)c(=O)c3ccccc32)c1OC,0.8746194239628599,12,0.7,5,DONE,0.8746194239628599,2.7757272410724063,ws,chembl,smiles_lstm,Osimertinib MPO,1
13,COc1ccc(OC)c(NC(=O)COC(=O)Cn2c(=O)n(CCN(C)C)c(=O)c3ccccc32)c1,0.8741628680634234,13,0.7,3,DONE,0.8741628680634234,2.3171219930034432,ws,chembl,smiles_lstm,Osimertinib MPO,1
14,COc1ccc(NC(=O)Cn2c(=O)n(CC(=O)NCCN(C)C)c(=O)c3ccccc32)c(OC)c1,0.8741628680634234,14,0.7,4,DONE,0.8741628680634234,2.286606211877354,ws,chembl,smiles_lstm,Osimertinib MPO,1
15,COc1ccc(NC(=O)Cn2c(=O)c3ccccc3n(CC(=O)NCCN(C)C)c2=O)c(OC)c1,0.8741628680634234,15,0.7,2,DONE,0.8741628680634234,2.286606211877354,ws,chembl,smiles_lstm,Osimertinib MPO,1
16,COc1ccc(NC(=O)CNC(=O)Cn2c(=O)n(CCN(C)C)c(=O)c3ccccc32)c(OC)c1,0.8741628680634234,16,0.8,2,DONE,0.8741628680634234,2.3092382499423802,ws,chembl,smiles_lstm,Osimertinib MPO,1
17,COc1ccc(N)cc1NC(=O)CNC(=O)Cn1c(=O)n(CCCN(C)C)c(=O)c2ccccc21,0.8741628680634234,17,0.7,5,DONE,0.8741628680634234,2.379095664692578,ws,chembl,smiles_lstm,Osimertinib MPO,1
18,COc1cc(NC(=O)COC(=O)Cn2c(=O)n(CCN(C)C)c(=O)c3ccccc32)cc(OC)c1,0.8741628680634234,18,0.7,2,DONE,0.8741628680634234,2.374165291972515,ws,chembl,smiles_lstm,Osimertinib MPO,1
19,COc1ccc(OC)c(NC(=O)Cn2c(=O)n(CC(=O)N3CCN(c4ccnc(N)n4)CC3)c(=O)c3ccccc32)c1,0.8741404020743258,19,0.8,2,DONE,0.8741404020743258,2.6164821148407267,ws,chembl,smiles_lstm,Osimertinib MPO,1
20,COc1ccc(NC(=O)Cn2c(=O)n(C(=O)NCCN(C)C)c(=O)c3ccccc32)c(OC)c1,0.8739351325046805,20,0.7,2,DONE,0.8739351325046805,2.4378943493788263,ws,chembl,smiles_lstm,Osimertinib MPO,1
21,COc1ccc(NC(=O)CN(C)CC(O)Cn2c(=O)c3ccccc3n(C)c2=O)c(OC)c1,0.8737003614606642,21,0.7,3,DONE,0.8737003614606642,2.798667362302263,ws,chembl,smiles_lstm,Osimertinib MPO,1
22,COc1ccccc1NC(=O)CNC(=O)Cn1c(=O)n(CCN2CCN(c3ccncc3)CC2)c(=O)c2ccccc21,0.8735014721915747,22,0.7,3,DONE,0.8735014721915747,2.5230424048181277,ws,chembl,smiles_lstm,Osimertinib MPO,1
23,COc1ccccc1NC(=O)Cn1c(=O)n(CCNC(=O)CN2CCN(c3cccnc3)CC2)c(=O)c2ccccc21,0.8735014721915746,23,0.7,3,DONE,0.8735014721915746,2.5006677067888834,ws,chembl,smiles_lstm,Osimertinib MPO,1
24,COc1ccc(N2CCN(C)CC2)cc1NC(=O)Cn1c(=O)c2ccccc2n(CC(N)=O)c1=O,0.8725749180596936,24,0.8,3,DONE,0.8725749180596936,2.3612208131817916,ws,chembl,smiles_lstm,Osimertinib MPO,1
25,COc1ccc(NC(=O)CN(C)CC(=O)Cn2c(=O)cnc3ccccc3c2=O)c(OC)c1,0.8720657418389026,25,0.7,4,DONE,0.8720657418389026,2.452070309612166,ws,chembl,smiles_lstm,Osimertinib MPO,1
26,COc1cnccc1NC(=O)CN(C)CC(O)Cn1c(=O)c2ccccc2n(C)c1=O,0.8715242540014305,26,0.7,3,DONE,0.8715242540014305,2.943940048224798,ws,chembl,smiles_lstm,Osimertinib MPO,1
27,COc1ccccc1NC(=O)Cn1c(=O)c2ccccc2n(CC(=O)NCCN2CCN(c3cnccn3)CC2)c1=O,0.8712883562253239,27,0.7,5,DONE,0.8712883562253239,2.5682071854919997,ws,chembl,smiles_lstm,Osimertinib MPO,1
28,COc1cccc(NC(=O)Cn2c(=O)n(CCNC(=O)CN3CCN(c4ncccn4)CC3)c(=O)c3ccccc32)c1,0.8712883562253239,28,0.7,3,DONE,0.8712883562253239,2.5397493342523294,ws,chembl,smiles_lstm,Osimertinib MPO,1
29,COc1cccc(NC(=O)CNC(=O)Cn2c(=O)n(CCN3CCN(c4ncccn4)CC3)c(=O)c3ccccc32)c1,0.8712883562253239,29,0.7,3,DONE,0.8712883562253239,2.5601626845384065,ws,chembl,smiles_lstm,Osimertinib MPO,1
30,COc1cc(N)c(NC(=O)Cn2c(=O)n(CC(=O)NCCN(C)C)c(=O)c3ccccc32)c(OC)c1,0.8710012869168917,30,0.7,2,DONE,0.8710012869168917,2.542171095477288,ws,chembl,smiles_lstm,Osimertinib MPO,1
31,COc1ccc(NC(=O)Cn2c(=O)n(CCNC(=O)CN3CCN(c4ccccn4)CC3)c(=O)c3ccccc32)c(OC)c1,0.8706042793512392,31,0.7,3,DONE,0.8706042793512392,2.5649066772324893,ws,chembl,smiles_lstm,Osimertinib MPO,1
32,COc1ccc(NC(=O)CNC(=O)Cn2c(=O)n(CCN3CCN(c4ccccn4)CC3)c(=O)c3ccccc32)c(OC)c1,0.8706042793512392,32,0.7,4,DONE,0.8706042793512392,2.584509973935784,ws,chembl,smiles_lstm,Osimertinib MPO,1
33,COc1cc(NC(=O)Cn2c(=O)n(CCNC(=O)CN3CCN(c4ccncc4)CC3)c(=O)c3ccccc32)cc(OC)c1,0.8706042793512392,33,0.7,3,DONE,0.8706042793512392,2.635427556353367,ws,chembl,smiles_lstm,Osimertinib MPO,1
34,COc1ccc(NC(=O)CN(C)CC(O)Cn2c(=O)n(Cc3nc(C)no3)c(=O)c3ccccc32)cc1OC,0.870277969883977,34,0.7,5,DONE,0.870277969883977,3.1031655272352374,ws,chembl,smiles_lstm,Osimertinib MPO,1
35,COc1ccc(NC(=O)CN(C)C)c(NC(=O)Cn2c(=O)n(Cc3nc(C)no3)c(=O)c3ccccc32)c1,0.869731909902367,35,0.7,3,DONE,0.869731909902367,2.593708390689436,ws,chembl,smiles_lstm,Osimertinib MPO,1
36,COc1ccc(NC(=O)Cn2c(=O)n(CC(=O)NCCCN(C)C)c(=O)c3ccccc32)c(OC)c1,0.8694417438899827,36,0.7,4,DONE,0.8694417438899827,2.3128771094633027,ws,chembl,smiles_lstm,Osimertinib MPO,1
37,COc1ccc(NC(=O)Cn2c(=O)c3ccccc3n(CC(=O)NCCCN(C)C)c2=O)c(OC)c1,0.8694417438899827,37,0.7,2,DONE,0.8694417438899827,2.3128771094633027,ws,chembl,smiles_lstm,Osimertinib MPO,1
38,COc1ccc(NC(=O)CNC(=O)Cn2c(=O)n(CCCN(C)C)c(=O)c3ccccc32)c(OC)c1,0.8694417438899827,38,0.8,3,DONE,0.8694417438899827,2.331793724847916,ws,chembl,smiles_lstm,Osimertinib MPO,1
39,COc1cccc(NC(=O)Cn2c(=O)n(CCNC(=O)CN(C)C)c(=O)c3ccccc32)c1OC,0.8691462666191475,39,0.7,4,DONE,0.8691462666191475,2.402995268181872,ws,chembl,smiles_lstm,Osimertinib MPO,1
40,COc1cccc(NC(=O)Cn2c(=O)n(CC(=O)NCCN(C)C)c(=O)c3ccccc32)c1OC,0.8691462666191475,40,0.7,5,DONE,0.8691462666191475,2.358683293558558,ws,chembl,smiles_lstm,Osimertinib MPO,1
