,smiles,pi3k,mtor,rscore,pi3k_pred,mtor_pred
0,CCc1ncnc(-c2ccc(C(C)(C)C#N)cc2)c1C#Cc1ccc(N)nc1,7.585026652029178,7.619788758288389,0.6,7.449829984280148,7.627706033597668
1,Cc1ncnc(-c2ccc(C(C)(C)C#N)cc2)c1C#Cc1ccc(N)nc1,7.619788758288388,7.619788758288389,0.7,7.454918961110839,7.6980916707092595
2,CCc1cc(-c2ncnc(CC)c2C#Cc2ccc(N)nc2)ccn1,7.39794000867203,7.95860731484177,0.7,7.3265849884356475,7.815369274827957
3,CCc1ncnc(-c2cc(C)nc(C)c2)c1C#Cc1ccc(N)nc1,7.53760200210104,8.09691001300805,0.7,7.309184328404728,7.981452117829944
5,Cc1ncnc(-c2ccc(C(=O)N(C)C)cc2)c1C#Cc1ccc(N)nc1,7.06550154875643,8.30102999566398,0.7,7.064392728897759,8.065663547472646
6,Cc1ncnc(-c2ccccc2)c1C#Cc1ccc(N)nc1,7.4089353929735005,7.52287874528033,0.7,7.251436966694465,7.467807181650681
7,Cc1ncnc(-c2ccc(S(C)(=O)=O)cc2)c1C#Cc1ccc(N)nc1,7.18708664335714,8.09691001300805,0.7,7.371555278496192,7.8642770912708935
8,Cc1ncnc(-c2ccc(F)c(C(=O)N(C)C)c2)c1C#Cc1ccc(N)nc1,6.595166283380059,8.22184874961635,0.6,6.6822499388168195,7.908013275585558
9,Cc1ncnc(-c2cccc(C(=O)N(C)C)c2)c1C#Cc1ccc(N)nc1,6.39685562737981,7.76955107862172,0.7,6.6742313399085065,7.503229912050362
11,CCc1ncnc(-c2ccc(C(=O)NC)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.14874165128092,8.30102999566398,0.6,7.002176076114961,8.133387877259356
12,CCc1ncnc(-c2ccccc2)c1C#Cc1ccc(N)nc1,7.004364805402441,7.19382002601611,0.7,7.1898928559373045,7.396672524469559
13,CCc1ncnc(-c2ccc(S(C)(=O)=O)cc2)c1C#Cc1ccc(N)nc1,7.180456064458129,7.744727494896691,0.6,7.316616762871308,7.741257826459416
14,CCc1ncnc(-c2ccc(F)c(C(=O)N(C)C)c2)c1C#Cc1ccc(N)nc1,6.72353819582675,7.69897000433601,0.6,6.748948283401179,7.891193118770137
16,CCc1ncnc(-c2ccc(C(=O)NC)c(Cl)c2)c1C#Cc1ccc(C)nc1,6.62708799702989,7.744727494896691,0.7,6.753288846392324,7.742707163007828
17,CCc1ncnc(-c2ccc(S(C)(=O)=O)cc2)c1C#Cc1ccc(C)nc1,7.004364805402441,7.161150909262741,0.7,7.040085765570559,7.369550775915444
18,CCc1ncnc(-c2ccc(C(=O)N(C)C)cc2)c1C#Cc1ccc(C)nc1,6.86327943284359,7.53760200210104,0.7,6.820787320454996,7.613951610108375
19,CCc1ncnc(-c2ccc(C(=O)N(C)C)c(F)c2)c1C#Cc1ccc(C)nc1,6.65364702554936,7.721246399047169,0.7,6.688756542750545,7.890570533451987
20,Cc1cc(-c2ncnc(C)c2C#Cc2ccc(N)nc2)ccn1,7.23657200643706,7.39794000867203,0.7,7.213808162865374,7.510930424121059
21,Cc1ncnc(-c2ccc(C(F)(F)F)nc2)c1C#Cc1ccc(N)nc1,7.004364805402441,7.3565473235138095,0.7,7.127915384008949,7.308282772069392
22,Cc1ncnc(-c2cnc3ccccc3c2)c1C#Cc1ccc(N)nc1,7.52287874528033,7.1191864077192,0.7,7.530254504610077,7.253570909730429
23,COc1ccc(-c2ncnc(C)c2C#Cc2ccc(N)nc2)cn1,7.1079053973095085,7.20065945054641,0.7,7.250777161932886,7.254900158707989
24,Cc1ccc(-c2ncnc(C)c2C#Cc2ccc(N)nc2)cn1,7.229147988357849,7.46852108295774,0.7,7.252291605016675,7.4017353509149375
25,Cc1ncnc(-c2ccc(N3CCCCC3)nc2)c1C#Cc1ccc(N)nc1,7.19382002601611,6.78781239559604,0.7,7.067873442374578,7.025132708118358
26,Cc1ncnc(-c2ccc(C3CC3)nc2)c1C#Cc1ccc(N)nc1,7.36653154442041,7.2441251443275,0.7,7.25351535178452,7.3300520247547265
27,CCc1ncnc(-c2ccnc(C)c2)c1C#Cc1ccc(N)nc1,7.2441251443275,7.69897000433601,0.6,7.241271187112862,7.683512467151658
28,CCc1ncnc(-c2ccc(C(F)(F)F)nc2)c1C#Cc1ccc(N)nc1,7.23657200643706,7.30102999566398,0.7,7.29356702348179,7.364288919088551
29,CCc1ncnc(-c2cnc3ccccc3c2)c1C#Cc1ccc(N)nc1,7.619788758288388,7.46852108295774,0.6,7.547507774638769,7.4468492210980255
30,CCc1ncnc(-c2ccc(OC)nc2)c1C#Cc1ccc(N)nc1,7.39794000867203,7.29242982390206,0.6,7.38032453435092,7.383376511789434
31,CCc1ncnc(-c2ccc(C)nc2)c1C#Cc1ccc(N)nc1,7.52287874528033,7.65757731917779,0.6,7.394519938126436,7.519843953744662
32,CCc1ncnc(-c2ccc(N3CCOCC3)nc2)c1C#Cc1ccc(N)nc1,7.49485002168009,7.387216143280259,0.7,7.431154898034345,7.452415200023344
33,CCc1ncnc(-c2ccnc(OC)c2)c1C#Cc1ccc(N)nc1,7.21467016498923,7.46852108295774,0.6,7.157994531089451,7.541908584535312
34,CCc1ncnc(-c2ccc(N(C)C)nc2)c1C#Cc1ccc(N)nc1,7.431798275933,7.10237290870955,0.6,7.31647728962598,7.282328564919923
35,CCc1ncnc(-c2ccc(C3CC3)nc2)c1C#Cc1ccc(N)nc1,7.53760200210104,7.49485002168009,0.7,7.369364060075468,7.416273407952472
36,CCN(CC)C(=O)c1cccc(-c2ncnc(C)c2C#Cc2ccc(N)nc2)c1,6.51144928349955,7.086186147616281,0.7,6.6074717434943215,7.140712674430666
37,Cc1ncnc(-c2cccc(C(=O)N3CCOCC3)c2)c1C#Cc1ccc(N)nc1,6.649751981665831,7.0457574905606695,0.6,6.839083955681522,7.397769486886843
38,Cc1ncnc(-c2cc(Cl)cc(C(=O)N(C)C)c2)c1C#Cc1ccc(N)nc1,7.16749108729376,7.619788758288389,0.6,7.062721115413907,7.723126317129527
39,Cc1ncnc(-c2ccc(F)c(C(=O)N3CCOCC3)c2)c1C#Cc1ccc(N)nc1,6.42021640338318,7.886056647693159,0.6,6.582536350090884,7.835482190220404
40,Cc1ncnc(-c2ccc(Cl)c(C(=O)N3CCOCC3)c2)c1C#Cc1ccc(N)nc1,6.338187314462731,8.39794000867203,0.6,6.595686235054148,8.121736362675085
41,Cc1ncnc(-c2ccc(F)c(C(=O)N3CCCCC3)c2)c1C#Cc1ccc(N)nc1,6.26841123481326,7.85387196432176,0.6,6.351297937173495,7.757784648147014
42,Cc1ncnc(-c2ccc(Cl)c(C(=O)N3CCCCC3)c2)c1C#Cc1ccc(N)nc1,6.51004152057516,7.886056647693159,0.6,6.4263602782146325,7.901878425180934
43,CNC(=O)c1cc(-c2ncnc(C)c2C#Cc2ccc(N)nc2)ccc1F,6.7351821769904605,7.49485002168009,0.7,6.802770788294908,7.601018977267769
